SB,20,EASY STREET,"COSTA, DON","COSTA, DON",1941,JAZZ ENSEMBLE,MISSING SCORE
MC,33,HALL OF FAME CONCERT MARCH,"OLIVADOTI, J.",,1941,Concert Band,MISSING DB PICC;2ND FLUTE;ALL CLARINETS;OBOE;BASSOON;ALL SAX; 1ST CORNET; 1ST F HORN; Eb HORN; 3RD & 4TH HORN; 1ST TROMBONE; BARITONE; DRUMS; TIMPANI; BELL LYRE
EN,70,ADAGIO PATHETIQUE,"GODARD, BENJ.","HOLMES, G.E.",1941,HORN QUARTET,
EN,72,ANDANTE CANTABILE,"TSCHAIKOWSKY, PETER","HOLMES, G.E.",1941,HORN QUARTET,
EN,105,HANDFUL OF KEYS,"WALLER, FATS","HENDERSON, LUTHER",1941,BRASS QUINTET,
LC,236,RED MILL,"HERBERT, VICTOR",,1941,Concert Band,MISSING 1ST Eb HORN
MB,11,TONE BUILDING AND INTONATION STUDIES,"WHITE, WILLIAM C. ",,1943,BAND METHOD ,
MB,28,SONATA,"HEIDEN, BERNHARD",,1943,SAXOPHONE SOLO,
SB,341,A NIGHT IN TUNISIA,"GILLESPIE, DIZZY","OSSER, GLENN",1944,JAZZ ENSEMBLE,
SB,149,STOP! THE RED LIGHT'S ON,"MILLER, ZAPS","FULLER, WALTER",1946,JAZZ ENSEMBLE,
MB,1,VICTOR METHOD BOOK 1,"VICTOR, JOHN",,1947,BAND METHOD ,
MB,12,RUBANK ADVANCED METHOD FOR FRENCH HORN,VOXMAN,,1947,HORN METHOD,
EN,229,CLARINET TRIOS,VARIOUS,"ROSENTHAL, CARL",1947,CLARINET TRIO,
LC,500,SUITE FRANCAISE,"MILHAUD, DARIUS",,1947,Concert Band,
MB,2,VICTOR METHOD BOOK 2,"VICTOR, JOHN",,1948,BAND METHOD ,
MB,3,VICTOR METHOD BOOK 3,"VICTOR, JOHN",,1948,BAND METHOD ,
M,8,WINGS OF VICTORY MARCH,"OLIVADOTI, J.",,1948,,
EN,24,TWO PARAPHRASES ON WALLOON CHRISTMAS CAROLS,"JONGEN, JOSEPH",,1948,FLUTE QUARTET,
EN,73,"FOUR HORNSMEN, THE","BENNETT, DAVID",,1948,HORN QUARTET AND PIANO,
EN,95,CEREMONIAL AND FLOURISH,"ARNELL, RICHARD",,1948,BRASS ENSEMBLE,
LC,327,"PINES OF THE APPIAN WAY (FROM ""PINES OF ROME"")","RESPIGHI, OTTORINO","D'ELIA, A. AND LEIDZEN, E.",1948,Concert Band,
MB,4,VICTOR METHOD BOOK 4,"VICTOR, JOHN",,1949,BAND METHOD ,
MB,5,VICTOR METHOD BOOK 5 & 6,"VICTOR, JOHN",,1949,BAND METHOD ,
MB,6,VICTOR METHOD BOOK 7 & 8,"VICTOR, JOHN",,1949,BAND METHOD ,
LC,58,DRY BONES,"YODER, PAUL",,1949,Concert Band,MISSING 4TH CLARINET; 2ND CORNET; 1ST Eb HORN; STRING BASS; CHORUS
SB,338,AUTUMN LEAVES,"MERCER, JOHNNY","BLAIR, PETER",1950,JAZZ ENESMBLE,
EN,221,SONATINE,"BOZZA, EUGENE",,1951,BRASS QUINTET,MISSING TUBA
LC,497,GEORGE WASHINGTON BRIDGE,"SCHUMAN, WILLIAM",,1951,Concert Band,
MB,13,MODERN METHOD FOR FRENCH HORN BOOK 1,"SANSONE, LORENZO",,1952,HORN METHOD,
MB,14,MODERN METHOD FOR FRENCH HORN BOOK 2,"SANSONE, LORENZO",,1952,HORN METHOD,
LC,228,WIZARD OF OZ,"ARLEN, HAROLD","ARLEN, HAROLD",1952,Concert Band,
LC,1,BALLET PARISIEN,"OFFENBACK, JACQUES","ISAAC, MERLE",1953,Concert Band,
LC,224,"GIRL I LEFT BEHIND ME, THE-FROM THE ""IRISH SUITE""","ANDERSON, LEROY",,1953,Concert Band,
EN,8,BUGLER'S HOLIDAY,"ANDERSON, LEROY",,1954,TRUMPET TRIO,
EN,141,FLY ME TO THE MOON (IN OTHER WORDS),"HOWARD, BART","GALE, JACK",1954,BRASS QUINTET,MISSING SCORE
LC,360,BUGULAR'S HOLIDAY,"ANDERSON, LEROY","EDWARDS, MICHAEL",1954,Concert Band,
EN,89,SUITE OF CAROLS,VARIOUS,"ANDERSON, LEROY",1955,WOODWIND ENSEMBLE,
MB,16,THE ART OF FRENCH HORN PLAYING,"FARKAS, PHILIP",,1956,HORN METHOD,
LC,384,CAN-CAN,"PORTER, COLE","BENNETT, ROBERT RUSSELL",1956,Concert Band,
EN,11,"THREE MENDEZ, THE","MENDEZ, RAFAEL",,1957,TRUMPET TRIO WITH PIANO,
EN,66,CLARINET POEM,"CAILLIET, LUCIEN",,1957,CLARINET CHOIR,
EN,138,WEST SIDE STORY (SUITE FOR BRASS QUINTET),"BERNSTEIN, LEONARD","GALE, JACK",1957,BRASS QUINTET,MISSING SCORE
MB,15,PROGRESSIVE AND TECHNICAL STUDIES FOR FRENCH HORN,"POTAG, MAX & ANDRAUD, ALBERT",,1958,HORN METHOD,
MB,29,24 SHORT CONCERT PIECES,VARIOUS,"CAVALLY, ROBERT",1958,FLUTE AND PIANO,
EN,61,INSOMNIA,"SCHINSTINE, WILLIAM J.",,1958,SNARE DRUM DUET,
EN,196,SONATA FROM DIE BANKELSANGERLIEDER,ANONYMOUS,"KING, ROBERT",1958,BRASS QUINTET,MISSING SCORE
MB,7,TIPPS METHOD,"HOVEY, NILO","WALKER, MARK",1959,BAND METHOD ,
EN,17,"MAGIC TRUMPET, THE","BURKE, JAMES F.",,1959,TRUMPET TRIO,
EN,12,SAX-SOLILOQUY,"BENNETT, DAVID",,1960,SAX QUARTET,
EN,101,CONTRAPUNCTUS I,"BACH, J.S.","KING, ROBERT",1960,BRASS QUINTET,
EN,112,THREE PIECES,"MAURER, LUDWIG","NAGEL, ROBERT",1960,BRASS QUINTET,MISSING SCORE
EN,121,THREE PIECES,"PEZEL, JOHANN","KING, ROBERT",1960,BRASS QUINTET,
EN,149,ENSEMBLE REPERTOIRE FOR WW QUINTET,VARIOUS,VOXMAN & HERVIG,1960,WOODWIND QUINTET,
EN,174,TUBA TIGER RAG,"DECOSTA, HARRY","HENDERSON, LUTHER",1960,BRASS QUINTET,
LC,11,AMERICAN CIVIL WAR FANTASY,"BILIK, JERRY",,1961,Concert Band,MISSING SCORE
EN,38,QUINTET NO. 1,"HAYDN, JOSEPH","LONG, RALPH",1961,WOODWIND QUINTET,
EN,90,THREE SHORT DANCES,"BRIGHT, HOUSTON",,1961,WOODWIND QUINTET,MISSING CLARINET PART
EN,111,SCHERZO AND LIED,"MAURER, LUDWIG","NAGEL, ROBERT",1961,BRASS QUINTET,MISSING SCORE
SB,140,DIZZY ATMOSPHERE,"GILLESPIE, DIZZY","OSSER, GLENN",1961,JAZZ ENSEMBLE,
EN,200,FIVE PIECES,"HOLBORNE, ANTHONY","KING, ROBERT",1961,BRASS QUINTET,MISSING SCORE
EN,208,QUINTET NO.1,"HAYDN, JOSEPH","LONG, RALPH",1961,WOODWIND QUINTET,MISSING CLARINET; HORN;SCORE
LC,337,"ROYAL FIREWORKS MUSIC, THE","HANDEL, G.F.","SARTORIUS, HARVEY A.",1961,Concert Band,MISSING SCORE; OBOE
LC,621,THE VALIENT YEARS,"RODGERS, RICHARD","REED, ALFRED",1961,Concert Band,
POP,5,123,LEN BARRY,,1962,POP/ROCK BAND,
MB,9,DAILY EXERCISES AND SCALES,"PARES, G",,1962,BAND METHOD ,
EN,19,LARGHETTO AND MENUETTO,"MOZART, W.A.","GUENTHER, RALPH R.",1962,FLUTE TRIO,
EN,55,SUITE FOR BRASS AND TYMPANI,"TYRA, THOMAS",,1962,BRASS ENSEMBLE AND TYMPANI,
MB,19,THE ART OF TROMBONE PLAYING,"KLEINHAMMER,EDWARD",,1963,TROMBONE METHOD,
MB,21,THE ART OF SAXOPHONE PLAYING,"TEAL, LARRY",,1963,SAXOPHONE METHOD,
MB,24,TECHNICAL GROWTH FOR THE BASSOONIST,"SIENNICKI, EDMUND",,1963,BASSOON METHOD,
EN,78,ADAGIO CANTABILE,"BEETHOVAN, L. VAN","JOHNSON, CLAIR W.",1963,CLARINET QUINTET,
LC,216,IT HAD BETTER BE TONIGH,"MANCINI, HENRY","BROWN, MICHAEL",1963,Concert Band,
LC,249,WEST SIDE STORY SELECTION,"BERNSTEIN, LEONARD","DUTHOIT, W.J.",1963,Concert Band,MISSING SCORE
LC,345,"ON STAGE WITH COLE PORTER, A MEDLEY FOR CONCERT BA","PORTER, COLE","VARRINGTON, JOHN",1963,Concert Band,
LC,536,"Portrait In Time, A","Brubeck, Dave","Smith, Robert W.",1963,Concert Band,MISSING PICCOLO; BARITONE;
EN,4,SUITE,"TOMASI, HENRI",,1964,TRUMPET TRIO,
EN,116,TWO SIXTEENTH CENTURY FLEMISH SONGS,TRADITIONAL,"HAAS, EUGENE",1964,BRASS QUINTET,
EN,146,ENSEMBLE MUSIC FOR CHURCH & SCHOOL,VARIOUS,"HANSON, WESLEY",1964,ANY ENSEMBLE,"MISSING PARTS 4, 5, 6"
SB,349,DIGGIN,"MUTCHLER, RALPH","MUTCHLER, RALPH",1964,JAZZ ENSEMBLE,
EN,43,THREE FANFARES,"NEUKOMM, SIGISMUND","TOWNSEND, DOUGLAS",1965,TRUMPET QUARTET,
EN,64,SOURWOOD MOUNTAIN,TRADITIONAL,"OSTLIN,ACTON",1965,BRASS SEXTET,
EN,71,ALBUM LEAF,"SCARMOLIN, A. LOUIS",,1965,HORN QUARTET,
EN,104,LITTLE BROWN JUG,"MILLER, GLEN","ROSENTHAL, IRVING",1965,BRASS QUINTET,
LC,292,TWO PRESIDENTIAL MARCHES,VARIOUS,"GOLDMAN, R.F. AND SMITH, R.",1965,Concert Band,
EN,31,SARABANDE,"TCHAIKOVSKY, PETER","KREISLER, ALEXANDER VON",1966,"2 CLARINETS, HORN, BASSOON",
EN,33,DIVERTIMENTO,"FARHAT, HORMOZ",,1966,SAX QUARTET,
EN,204,SCHERZO,"CHEETHAM, JOHN",,1966,BRASS QUINTET,MISSING SCORE; HORN
LC,270,BLUES IN THE NIGHT,"ARLEN, HAROLD","BECK, JOHN NESS",1966,Concert Band,
MB,25,TUNE UP AND PLAY ENSEMBLES,"OSTLING, ACTON",,1967,BAND METHOD ,
SB,345,LYRIC MOOD,"LAPORTA, JOHN","LAPORTA, JOHN",1967,JAZZ ENSEMBLE,
EN,34,AMERICAN FOLKSONG SUITE,"FOSTER,STEPHEN","ASHFORD,THEODORE",1968,SAX QUARTET,
SB,56,LA CUCARACHA,TRADITIONAL,"KING, VICTOR",1968,JAZZ ENSEMBLE,
LC,68,CAROLINA IN MY MIND,"TAYLOR, JAMES","MORGAN, PAUL",1968,Concert Band,MISSING SCORE; BARITONE; PERCUSSION
LC,330,"AMERICA, VARIATIONS ON","IVES, CHARLES","RHOADS, WILLIAM E.",1968,Concert Band,MISSING PERCUSSION 1; 1ST & 2ND HORN
EN,37,TEN SAXOPHONE QUARTETS,VARIOUS,"TEAL, LARRY",1969,SAX QUARTET,
EN,83,PRELUDE AND ALLEGRO,"FRACKENPOHL, AUTHUR",,1969,CLARINET CHOIR,
EN,103,DIVERTIMENTO FOR BRASS QUINTET,"CHAGRIN, FRANCIS",,1969,BRASS QUINTET,MISSING ALL PARTS (SCORE ONLY)
EN,165,MUSIC HALL SUITE,"HOROVITZ, JOSEPH",,1969,BRASS QUINTET,
EN,205,DIVERTIMENTO FOR BASS 5TET,"CHAGRIN, FRANCIS",,1969,BRASS QUINTET,MISSING SCORE; HORN
LC,352,DUKE ELLINGTON IN CONCERT,ELLINGTON,"SCOTT, WAYNE",1969,Concert Band,
EN,62,THREE ASIATIC DANCES,"FROCK, GEORGE",,1970,PERCUSSION SEXTET,
MB,10,UNISON SCALES CHORDS AND RHYTHMIC STUDIES,"WHITE, WILLIAM C. ",,1971,BAND METHOD ,
EN,80,AUSTRALIAN UPCOUNTRY TUNE,"GRAINGER, PERCY ALDRIDGE","BAINUM, GLENN CLIFFE",1971,BRASS CHOIR,
EN,3,EPIGRAPHE,ANDRE AMELLER,,1972,TROMBONE QUARTET,
EN,15,12 EASY DUETS FOR WINDS,"MOZART,WOLFGAN AMADEUS ","SMITH, HENRY",1972,TREBLE CLEF DUETS,
EN,42,RHAPSODY,"GOEBERT, ROBERT",,1972,TRUMPET QUARTET,
EN,49,TWENTY MODERN DUETS,"WEHNER, WALTER L.",,1972,TREBLE CLEF DUETS,
EN,53,BRASS QUINTET NO.2,"FRACKENPHOL, ARTHUR",,1972,BRASS QUINTET,SCORE ONLY (MISSING ALL PARTS)
EN,56,TWO FANFARES,"MAILMAN, MARTIN",,1972,BRASS CHOIR,
EN,87,SARABANDE,"DEBUSSY, CLAUDE","DAVIS, SHARON",1972,CLARINET CHOIR,
EN,99,BRASS QUINTET NO.2,"FRACKENPOHL, ARTHUR",,1972,BRASS QUINTET,MISSING SCORE
SB,122,TEMPLET,,"ZITO, TORRIE",1972,JAZZ ENSEMBLE,
EN,197,RONDEAU,"MOURET, JEAN JOSEPH","KING, ROBERT",1972,BRASS QUINTET,MISSING SCORE
SB,351,3/4 OF THE TIME,"CHARLES, RAY","NEUMANN, ROGER",1972,JAZZ ENSEMBLE,
LC,353,STAN KENTON IN CONCERT,KENTON,"SCOTT, WAYNE",1972,Concert Band,
POP,3,LONG TRAIN RUNNIN',THE DOOBIE BROTHERS,,1973,POP/ROCK BAND,
EN,51,THREE SCOTT JOPLIN RAGS,"JOPLIN, SCOTT","FRACKENPHOL, ARTHUR",1973,BRASS QUINTET,SCORE ONLY (MISSING ALL PARTS)
EN,54,FOUR FRESCOES,"MCBETH, W. FRANCIS",,1973,BRASS QUINTET,
EN,84,QUEEN MARY SUITE,"PURCELL, HENRY","EDMUNDS, JOHN",1973,WOODWIND QUINTET,
EN,86,POLKA,"SHOSTAKOVITCH, DMITRI","SMITH, JERRY NEIL",1973,WOODWIND QUINTET,MISSING BASSOON PART
EN,92,TROMBONE NOCTURNE,"DEDRICK, RUSTY",,1973,T-BONE SOLO W/ STAGE BAND,"MISSING: TROMBONE SOLO, 1-5SAXOPHONES, 1-4 TRUMPET, 2-4 TROMBONE PARTS, BASS GUITAR"
EN,96,THREE SCOTT JOPLIN RAGS,"JOPLIN, SCOTT","FRACKENPHOL, ARTHUR",1973,BRASS QUINTET,MISSING SCORE
EN,119,FUGUE IN G MINOR,"BACH, J.S.","ROMM, ROBERT",1973,BRASS QUINTET,MISSING SCORE
EN,179,DREAM ON,AEROSMITH,"BLASKOWSKI, REESE",1973,BRASS QUINTET,
EN,209,QUEEN MARY SUITE,"PURCELL, HENRY","EDMUNDS, JOHN",1973,WOODWIND QUINTET,MISSING CLARINET; HORN; SCORE
EN,210,"POLKA FROM ""GOLDEN AGE""",SHOSTAKOVICH,"SMITH, JERRY NEIL",1973,WOODWIND QUINTET,MISSING CLARINET; HORN; SCORE
EN,9,THE ENTERAINER,"JOPLIN, SCOTT","SACCI, FRANK",1974,WOODWIND QUINTET,
EN,14,SHENANDOAH,TRADITIONAL,"BROWN, RICHARD",1974,WOODWIND QUINTET,MISSING CLARINET
EN,50,GLAD RAGS SUITE,"BLAKE, J.HUBERT","FRACKENPHOL, ARTHUR",1974,BRASS QUINTET,
EN,52,RAGTIME SUITE,"JOPLIN, SCOTT","FRACKENPHOL, ARTHUR",1974,BRASS QUINTET,
SB,155,PRECIOUS CARGO,"LOWDEN, BOB","LOWDEN, BOB",1974,JAZZ ENSEMBLE,
EN,207,THE ENTERAINER,"JOPLIN, SCOTT","SACCI, FRANK",1974,WOODWIND QUINTET,MISSING BASSOON;SCORE
LC,367,BRASSMEN'S HOLIDAY,"ARMENGOL, MARIO RUIZ","NESTICO, SAMMY",1974,Concert Band,
LC,407,FINALE FROM SYMPHONY NO.2,"IVES, CHARLES","ELKUS, JONATHAN",1974,Concert Band,
SB,1,ALMOST LIKE BEING IN LOVE,LERNER & LOEWE,"NIEHAUSE, LENNIE",1975,JAZZ ENSEMBLE,MISSING SOLO VOICE ; PIANO
EN,29,SUITE,DAVID A. WHITE,,1975,OBOE AND CLARINET,
EN,63,A TIME FOR  JAZZ,"SPEARS, JARED",,1975,PERCUSSION OCTET,
EN,198,"FANFARE ""LA PERI""","DUKAS, PAUL","BARRINGTON, WAYNE",1975,BRASS QUINTET,MISSING SCORE
LC,296,OPENING,"MCMAHAN, RICHARD L.",,1975,Concert Band,
LC,317,CUMANA,"ALLEN, BARCLAY","BENNETT, DAVID",1975,Concert Band,
LC,498,"ETERNAL FATHER, STRONG TO SAVE","SMITH, CLAUDE T.",,1975,Concert Band,MISSING TENOR SAX;HORN 1
MB,27,TECHNICAL STUDIES FOR TROMBONE,"CLARKE, HERBERT","GORDON, CLAUDE",1976,TROMBONE METHOD,
EN,94,SERENADE,"BENCRISCUTTO, FRANK",,1976,A-SAX SOLO WITH PIANO,
EN,102,SUITE FROM THE MONTEREGIAN HILLS,"CALVERT, MORLEY",,1976,BRASS QUINTET,
SB,152,STILL CRAZY AFTER ALL THESE YEARS,"SIMON, PAUL","LOWDEN, BOB",1976,JAZZ ENSEMBLE,
EN,180,CARRY ON MY WAYWARD SON,KANSAS,"BLASKOWSKI, REESE",1976,BRASS QUINTET,
LC,355,FANFARE AND CEREMONIAL,"MCKAY, NEIL",,1976,Concert Band,MISSING 3RD TROMBONE
MB,18,MASTER SOLOS FOR BARITONE/EUPHONIUM,VARIOUS,"CAMPBELL, LARRY",1977,EUPHONIUM SOLOS,
SB,29,GREATEST LOVE OF ALL,"MASSER, MICAHEL ",,1977,JAZZ ENSEMBLE,MISSING VOCAL SOLO; DRUMS
EN,60,DIALOGUES,"WOLKING, GENRY",,1977,TROMBONE QUARTET,
EN,36,SONATA NO. 44,"SCARLATTI, DOMENICO","HEMKE, FRED",1978,SAX QUARTET,
EN,39,ARIOSO,"BACH, J.S.","GEE, HARRY",1978,WOODWIND CHOIR,
EN,76,THREE SONGS FOR BRASS QUINTET(THE BEATLES),LENNON & MCCARTNEY,BALDWIN DAVID,1978,BRASS QUINTET,
EN,46,WALTZ OF THE PRUNES,"SPERA, DOMINIC",,1979,8 TRPTS W/ RHYTHM,
LC,399,TRIBUTE TO IRVING BERLIN,"BERLIN, IRVING","BARKER, WARREN",1979,Concert Band,
MB,30,TRANSPOSITION EXERCISES AT THE KEYBOARD,"SUMSION, HERBERT & WILKINSON, PHILIP",,1980,KEYBOARD METHOD,
EN,81,12 DAYS OF CHRISTMAS,TRADITIONAL,"HOLCOMBE, BILL",1980,WOODWIND QUINTET,
LC,374,"GUADALCANAL MARCH (FROM ""VICTORY AT SEA"")","RODGERS, RICHARD","FORSBLAD, LELAND",1980,Concert Band,
LC,519,"CHORUS LINE SPECTACULAR, A","HAMLISCH, MARVIN","BARKER, WARREN",1980,Concert Band,
SB,73,SKYLARK,"CARMICHAEL, HOAGY & MERCER, JOHNNY","BROOKMEYER, BOB",1981,JAZZ ENSEMBLE,
EN,88,"STARS AND STRIPES FOREVER, THE","SOUSA, JOHN PHILIP","HOLCOMBE, BILL",1981,WOODWIND QUINTET,
EN,115,ELIZABETHAN DANCE SUITE,"HOLBOURNE, ANTHONY",,1981,BRASS QUINTET,
EN,118,BRANDENBURG SUITE NO. 1,"BACH, J.S.","FRACKENPOHL, ARTHUR",1981,BRASS QUINTET,MISSING SCORE
EN,131,"STARS AND STRIPES FOREVER, THE","SOUSA, JOHN PHILLIP","HOLCOMBE, BILL",1981,BRASS QUINTET,MISSING 2ND TRUMPET
EN,189,A CHRISTMAS JAZZ SUITE,VARIOUS,"HOLCOMBE, BILL",1981,BRASS QUINTET,MISSING SCORE
LC,402,MARVIN HAMLISCH SHOWCASE,"HAMLISCH, MARVIN","BARKER, WARREN",1981,Concert Band,
SB,22,HERES THAT RAINY DAY,"BURKE, JOHNNY","BARDUHN, DAVE",1982,JAZZ ENSEMBLE,
SB,77,Spring Can Really Hang You Up The Most,"WOLF, TOMMY & LANDESMAN, FRAN","MANTOOTH, FRANK",1982,JAZZ ENSEMBLE,
EN,82,"TALE OF THREE CITIES, A","HOLCOMBE, BILL",,1982,WOODWIND QUINTET,
SB,109,FLY ME TO THE MOON,"HOWARD, BART","DEDRICK, RUSTY",1982,JAZZ ENSEMBLE,
EN,201,RIFLE REGIMENT MARCH,"SOUSA, JOHN PHILLIP","FRACKENPOHL, ARTHUR",1982,BRASS QUINTET,MISSING SCORE; HORN
SB,346,MOOD INDIGO,"ELLINGTON, DUKE","NESTICO, SAMMY",1982,JAZZ ENSEMBLE,
SB,347,HILL STREET BLUES,"POST, MIKE","JENNINGS, PAUL",1982,JAZZ ENSEMBLE,
LC,400,VIDEO VIGNETTES,VARIOUS,"BULLOCK, JACK",1982,Concert Band,
LC,439,"ROYAL FIREWORKS MUSIC, THE","HANDEL, G.F.","SCHAEFER, WILIAM A.",1982,Concert Band,
LC,518,BIG BAND FAVORITES,,"LOWDEN, BOB",1982,Concert Band,
EN,195,GALLIARD BATTAGLIA,"SCHEIDT, SAMUEL","KING, ROBERT",1983,BRASS QUINTET,MISSING SCORE
SB,2,ANYTHING GOES,"PORTER, COLE","HOOPER, LES",1984,JAZZ ENSEMBLE,
POP,6,ALL SHE WANTS TO DO IS DANCE,DON HENLEY,,1984,POP/ROCK BAND,
MB,17,TECHNICAL STUDIES FOR CORNET,"CLARKE, H.L",,1984,TRUMPET METHOD,
EN,100,"MORO, LASSO, AL MIO DUOLO","GESUALDO, CARLO","BALM, NEIL",1984,BRASS QUINTET,
LC,125,GOD BLESS THE USA,TRADITIONAL,"MARSH, JOHN",1984,Concert Band,MISSING SCORE
EN,130,THE LIBERTY BELL,"SOUSA, JOHN PHILLIP",BATTLES & HOLCOMBE,1984,BRASS QUINTET,
EN,199,GEORGE M. COHAN MEDLEY,"COHAN, GEORGE","NAGLE, PAUL",1984,BRASS QUINTET,MISSING SCORE; 2ND TRUMPET
LC,520,SLEEPERS AWAKE,"BACH, J.S.","REED, ALFRED",1984,Concert Band,MISSING SCORE;
LC,521,SATCHMO!,"ARMSTRONG, LOUIS","BARKER, WARREN",1984,Concert Band,
EN,1,CORONATION MARCH,"MEYERBEER, G.","HOLMES, G.E.",1985,SAX CHOIR,
POP,4,TAKE ON ME,AH-HA,,1985,POP/ROCK BAND,
SB,9,CAGNEY AND LACEY THEME,"CONTI, BILL","BERRY, JOHN",1985,JAZZ ENSEMBLE,
SB,26,FOR ONCE IN MY LIFE,"MILLER, RONALD - MURDEN, ORLANDO","NEIHAUS, LENNIE",1985,JAZZ ENSEMBLE,MISSING SCORE
EN,182,150 INTONATION EXERCIES FOR BRASS,"REYNOLDS, VERNE",,1985,BRASS QUINTET,
EN,7,RUSSIAN SAILORS' DANCE,"GLIERE, REINHOLD","SIEKMANN, FRANK",1986,TROMBONE QUARTET,
EN,109,"SAINTS' HALLELUJAH, THE",TRADITIONAL,"HENDERSON, LUTHER",1986,BRASS QUINTET,MISSING SCORE
SB,129,Embraceable You,"GERSHWIN, GEORGE","BARDUHN,DAVE",1986,JAZZ ENSEMBLE,
EN,143,AVE VERUM,"MOZART, W.A.","WATKIN, FEN",1986,BRASS QUINTET,"MISSING 2ND HORN, TROMBONE, TUBA"
EN,206,ENTRY OF THE GLADIATORS,"FUICK, JULIUS",HOLCOMBE & BATTLES,1986,WOODWIND QUINTET,MISSING BASSOON;SCORE
LC,517,AXON,"SPEARS, JARED",,1986,Concert Band,
LC,616,GOD BLESS THE U.S.A.,"GREENWOOD, LEE","HOLMES, ROGER",1986,Concert Band,
POP,2,FAITH,GEORGE MICHAEL,,1987,POP/ROCK BAND,
SB,150,Groovin' Hard,"MENZA, DON","BARDUHN, DAVE",1987,JAZZ ENSEMBLE,
EN,222,REAL BOOK,VARIOUS,VARIOUS,1987,JAZZ COMBO,"2-TREBLE CLEF ""C""; 1-BASS CLEF; 3-""BLUES IN GREEN"" TREBLE CLEF ""C; 1-""Eb"""
EN,77,THATS A-PLENTY,TRADITIONAL,"GALE, JACK",1988,BRASS QUINTET,
SB,93,WILLOW WEEP FOR ME,"RONELL, ANN","HARRIS, MATT",1988,JAZZ ENSEMBLE,
EN,107,ADIRONDACK BRASS RAG,"FRACKENPOHL, ARTHUR",,1988,BRASS QUINTET,MISSING SCORE
EN,122,CANADIAN BRASS BOOK OF FAVORITE QUINTETS,VARIOUS,"BARNES, WALTER H.",1988,BRASS QUINTET,MISSING SCORE
EN,126,UNDER THE DOUBLE EAGLE,"WAGNER, J.F.","FRACKENPOHL, ARTHUR",1988,BRASS QUINTET,
EN,133,"CANADIAN BRASS CHRISTMAS, A",TRADITIONAL,"HENDERSON, LUTHER",1988,BRASS QUINTET,
SB,14,COCKATOO,"BECKENSTEIN, CATALLO, SCHUMAN, ETC.","HOOPER, LES",1989,JAZZ ENSEMBLE,MISSING SCORE
SB,76,SOON IT'S GONNA RAIN,"SCHMIDT, HARVEY & JONES, TOM","MANTOOTH, FRANK",1989,JAZZ ENSEMBLE,
EN,91,THE SCREAMER,"JEWELL, FRED","BJORNES, WILLIAM",1989,BRASS QUINTET,
EN,136,BRASS ON BROADWAY,VARIOUS,"LOWDEN, BOB",1989,BRASS QUINTET,
EN,139,AMERICAN CHRISTMAS FOLK SUITE,TRADITIONAL,"HOLCOMBE, BILL",1989,BRASS QUINTET,MISSING SCORE
EN,171,AMERICAN REVOLUTIONARY WAR MEDLEY,TRADITIONAL,"VILLANUEVA, JARI",1989,BRASS QUINTET,
LC,491,CANTUS,"NELHYBEL, VACLAV",,1989,Concert Band,
